timestamp,cpu_usr,cpu_sys,cpu_iow,cpu_idle,mem_used_mb,mem_free_mb,net_rx_kbps,net_tx_kbps,ast_channels,ast_endpoints_online
1780441033,0.0,0.0,0.0,100.0,1232,741,0,0,0,1
1780441034,0.3,0.0,0.0,99.7,1233,740,0,0,0,1
1780441035,0.3,0.5,0.0,99.0,1233,740,2,20,0,1
1780441036,0.5,1.9,0.0,96.5,1233,740,0,2,0,1
1780441037,0.8,1.9,0.5,95.9,1233,740,0,2,0,1
1780441038,1.1,1.9,0.0,95.7,1237,736,0,1,0,1
1780441039,1.3,2.4,0.0,95.1,1239,734,0,2,0,1
1780441040,0.5,1.9,0.0,96.5,1239,734,0,1,0,1
1780441041,0.5,1.9,0.0,96.2,1239,734,0,2,0,1
1780441042,0.5,1.6,0.0,96.7,1239,734,0,1,0,1
1780441043,1.3,1.6,0.0,95.5,1239,734,0,1,0,1
1780441044,0.5,1.1,0.0,96.3,1239,734,0,1,0,1
1780441045,1.4,1.9,0.0,96.2,1239,734,0,2,0,1
1780441046,0.5,1.6,0.0,97.0,1239,734,0,2,0,1
1780441047,1.1,1.6,0.0,96.0,1232,741,0,2,0,1
1780441048,0.5,1.4,0.0,96.7,1232,741,0,1,0,1
1780441050,0.8,2.2,0.0,95.9,1221,752,0,1,0,1
1780441051,1.1,1.4,0.0,96.7,1222,751,0,1,0,2
1780441052,0.8,2.1,0.0,95.7,1223,751,0,1,0,1
1780441053,0.8,1.4,0.3,96.5,1224,749,0,1,0,1
1780441054,0.8,1.1,0.0,97.3,1225,748,0,2,0,1
1780441055,0.5,1.6,0.0,96.5,1225,748,1,2,0,1
1780441056,0.8,1.4,0.0,96.5,1226,747,0,4,0,1
1780441057,0.8,1.6,0.0,97.0,1226,747,0,1,0,1
1780441058,1.1,1.3,0.0,96.5,1227,746,0,1,0,1
1780441059,0.8,1.1,0.0,96.8,1227,746,0,1,0,1
1780441060,0.6,2.2,0.0,96.1,1227,746,0,1,0,1
1780441061,1.1,1.1,0.0,96.2,1227,746,0,1,0,1
1780441062,0.8,1.6,0.0,96.2,1227,746,0,2,0,1
1780441063,0.8,2.2,0.3,96.2,1227,746,0,1,0,1
1780441064,0.8,1.4,0.0,97.0,1228,745,0,1,0,1
1780441065,3.6,7.8,0.0,87.2,1230,743,4,54,1,2
1780441066,5.5,11.6,0.0,79.7,1231,742,0,3,1,1
1780441067,6.9,12.7,0.0,77.8,1231,742,0,2,2,1
1780441068,5.2,12.4,0.0,78.8,1231,742,0,2,1,2
1780441069,5.2,13.4,0.0,79.2,1227,746,0,2,1,2
1780441071,4.4,15.2,0.0,77.1,1202,770,0,2,0,2
1780441072,3.3,12.8,0.0,80.0,1205,768,0,2,1,2
1780441073,4.7,13.4,0.3,79.1,1207,766,0,2,1,1
1780441074,5.8,13.9,0.0,77.4,1208,765,0,2,0,2
1780441075,4.9,11.8,0.0,81.3,1208,765,0,1,1,2
1780441076,4.7,14.0,0.0,79.1,1204,769,0,4,1,2
1780441077,5.4,11.4,0.0,80.1,1202,771,0,2,2,2
1780441078,5.1,11.0,0.0,81.3,1203,770,0,2,2,2
1780441079,4.7,12.5,0.0,79.8,1204,770,0,2,2,2
1780441080,3.6,16.2,0.0,77.9,1213,760,0,2,2,2
1780441081,6.2,11.3,0.0,79.9,1214,760,0,2,2,2
1780441082,4.6,12.8,0.0,79.8,1216,757,0,3,1,2
1780441083,5.6,10.7,0.0,81.1,1210,763,0,2,2,2
1780441084,6.0,11.6,0.0,79.5,1210,763,0,3,1,2
1780441085,5.6,13.2,0.0,79.7,1212,761,1,2,1,2
1780441086,3.7,12.9,0.0,80.2,1213,761,0,2,1,2
1780441087,5.4,12.7,0.0,79.4,1213,760,0,2,1,2
1780441088,5.5,12.2,0.0,78.7,1213,760,0,2,0,2
1780441089,4.9,12.8,0.0,79.3,1214,759,0,2,2,2
1780441091,4.9,16.5,0.0,76.4,1207,766,0,2,1,2
1780441092,5.2,11.0,0.0,80.4,1207,766,0,2,1,2
1780441093,3.6,13.5,0.3,79.9,1209,764,0,2,0,2
1780441094,6.1,12.2,0.0,77.8,1208,765,0,2,1,2
1780441095,3.4,12.9,0.0,80.5,1209,764,0,5,0,1
1780441096,0.5,1.1,0.0,97.6,1211,762,3,50,0,1
1780441097,0.5,1.4,0.0,97.0,1212,761,0,2,0,1
1780441098,1.1,2.1,0.0,94.7,1212,761,0,1,0,1
1780441099,0.8,2.2,0.0,95.4,1213,760,0,3,0,1
1780441100,0.5,2.2,0.0,95.7,1213,760,0,1,0,1
1780441101,0.5,5.4,0.0,92.7,1221,752,0,1,0,1
1780441102,1.6,1.6,0.0,95.7,1222,752,0,2,0,1
1780441103,0.5,1.9,0.0,96.2,1222,751,0,2,0,1
1780441104,1.1,1.9,0.0,95.9,1222,751,0,2,0,1
1780441105,0.8,1.9,0.0,96.2,1223,751,0,2,0,1
1780441106,1.3,2.9,0.0,94.4,1224,750,0,1,0,1
1780441107,1.1,1.9,0.0,95.4,1224,749,0,2,0,1
1780441108,1.4,1.4,0.0,95.9,1224,749,0,2,0,1
1780441109,0.5,1.9,0.0,96.0,1224,749,0,2,0,1
1780441110,1.3,1.9,0.0,95.7,1224,749,0,1,0,1
1780441112,0.5,2.4,0.0,95.7,1217,756,0,1,0,1
1780441113,1.9,1.9,0.0,94.9,1217,756,0,1,0,1
1780441114,1.6,1.6,0.3,95.7,1218,756,0,2,0,1
1780441115,1.6,1.1,0.0,96.2,1218,756,1,1,0,1
1780441116,0.5,2.7,0.0,95.9,1218,756,0,1,0,1
1780441117,1.4,1.6,0.0,95.4,1218,756,0,1,0,1
