timestamp,cpu_usr,cpu_sys,cpu_iow,cpu_idle,mem_used_mb,mem_free_mb,net_rx_kbps,net_tx_kbps,ast_channels,ast_endpoints_online
1780440377,0.3,1.0,0.3,97.9,282,1691,23,23,0,1
1780440378,0.3,0.0,0.0,99.5,282,1691,0,0,0,1
1780440379,0.8,1.6,0.0,97.4,282,1691,1,19,1,2
1780440381,2.6,7.1,0.0,88.9,286,1688,0,3,0,2
1780440382,2.5,7.6,0.0,88.8,292,1681,0,2,0,2
1780440383,2.2,7.8,0.3,87.7,297,1676,0,3,0,2
1780440384,2.2,7.6,0.0,88.5,306,1666,0,1,0,2
1780440385,2.2,7.8,0.0,88.3,316,1658,0,1,1,2
1780440386,2.8,6.7,0.0,88.5,325,1648,0,2,0,2
1780440387,2.2,7.3,0.0,89.0,335,1638,0,1,0,2
1780440388,2.8,6.9,0.0,88.4,345,1628,0,1,0,1
1780440389,2.5,7.2,0.0,88.3,354,1619,0,2,1,1
1780440390,2.5,7.8,0.0,88.3,363,1610,0,2,0,2
1780440391,2.2,7.8,0.0,87.7,372,1602,0,1,0,2
1780440392,1.7,7.5,0.0,88.6,381,1592,0,2,0,2
1780440393,2.8,7.5,0.3,87.5,390,1583,0,1,1,1
1780440394,3.7,9.0,0.0,85.1,411,1562,0,2,0,1
1780440395,1.9,7.4,0.0,89.4,418,1555,1,3,1,1
1780440396,3.0,7.3,0.0,87.6,425,1548,0,1,0,1
1780440397,2.5,5.3,0.0,89.8,434,1539,0,2,1,2
1780440398,2.2,6.9,0.0,88.2,441,1532,0,2,0,2
1780440399,2.7,7.9,0.0,87.5,449,1524,0,4,1,2
1780440401,1.7,7.2,0.0,89.0,458,1515,0,1,0,1
1780440402,2.2,5.8,0.0,89.5,468,1505,0,1,1,1
1780440403,1.9,7.7,0.0,88.1,476,1497,0,3,0,1
1780440404,2.2,6.4,0.0,88.9,486,1488,0,2,1,2
1780440405,3.1,6.7,0.0,88.1,503,1470,0,2,1,2
1780440406,1.4,6.9,0.0,89.5,510,1463,0,2,0,1
1780440407,2.8,6.4,0.0,89.5,517,1456,0,1,0,2
1780440408,2.2,6.4,0.3,89.5,524,1449,0,1,0,2
1780440409,2.2,6.1,0.0,89.2,533,1440,0,2,0,1
