StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:16.204746	1780441036.204746;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:16.204868	1780441036.204868;2026-06-02	17:57:17.204028	1780441037.204028;00:00:00;00:00:01;10;9.00901;8.99101;0;0;9;9;9;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;9;0;0;0;0;0;0;0;0;;2;7;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:17.204149	1780441037.204149;2026-06-02	17:57:18.213096	1780441038.213096;00:00:01;00:00:02;10;10.9127;9.95025;0;0;11;20;20;1;10;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:012000;00:00:00:001000;00:00:00:002000;;19;0;0;0;0;0;0;0;0;;2;17;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:18.213296	1780441038.213296;2026-06-02	17:57:19.215461	1780441039.215461;00:00:01;00:00:03;10;9.98004;9.96016;0;0;10;30;30;1;10;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:014000;00:00:00:013000;00:00:00:002000;00:00:00:002000;;30;0;0;0;0;0;0;0;0;;2;27;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:19.215533	1780441039.215533;2026-06-02	17:57:20.219096	1780441040.219096;00:00:01;00:00:04;10;9.97009;9.96016;0;0;10;40;40;1;10;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:003000;00:00:00:002000;;40;0;0;0;0;0;0;0;0;;5;34;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:20.219237	1780441040.219237;2026-06-02	17:57:21.223789	1780441041.223789;00:00:01;00:00:05;10;9.96016;9.95818;0;0;10;50;50;0;11;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:003000;00:00:00:002000;00:00:00:015000;00:00:00:013000;00:00:00:008000;00:00:00:004000;;49;1;0;0;0;0;0;0;0;;6;44;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:21.223854	1780441041.223854;2026-06-02	17:57:22.229141	1780441042.229141;00:00:01;00:00:06;10;9.95025;9.95685;0;0;10;60;60;0;10;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:005000;00:00:00:003000;00:00:00:002000;00:00:00:011000;00:00:00:013000;00:00:00:002000;00:00:00:004000;;59;1;0;0;0;0;0;0;0;;9;51;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:22.229213	1780441042.229213;2026-06-02	17:57:23.232765	1780441043.232765;00:00:01;00:00:07;10;9.97009;9.95733;0;0;10;70;70;0;10;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:004000;;69;1;0;0;0;0;0;0;0;;10;60;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:23.232845	1780441043.232845;2026-06-02	17:57:24.233166	1780441044.233166;00:00:01;00:00:08;10;10;9.96264;0;0;10;80;80;0;10;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:004000;;79;1;0;0;0;0;0;0;0;;11;69;0;0;0;0;0;0;0;
2026-06-02	17:57:16.202530	1780441036.202530;2026-06-02	17:57:24.233249	1780441044.233249;2026-06-02	17:57:25.239339	1780441045.239339;00:00:01;00:00:09;10;9.94036;9.96016;0;0;10;90;90;0;10;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:003000;;89;1;0;0;0;0;0;0;0;;11;79;0;0;0;0;0;0;0;
