StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:46.245626	1780441066.245626;00:00:00;00:00:00;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:46.245765	1780441066.245765;2026-06-02	17:57:47.247647	1780441067.247647;00:00:01;00:00:01;150;148.851;148.554;0;0;149;149;149;1;148;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:002000;00:00:00:002000;;148;1;0;0;0;0;0;0;0;;65;83;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:47.247695	1780441067.247695;2026-06-02	17:57:48.251223	1780441068.251223;00:00:01;00:00:02;150;150.548;149.477;0;0;151;300;300;1;151;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:002000;00:00:00:002000;;299;1;0;0;0;0;0;0;0;;133;166;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:48.251272	1780441068.251272;2026-06-02	17:57:49.255564	1780441069.255564;00:00:01;00:00:03;150;150.398;149.784;0;0;151;451;451;2;150;449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;446;4;0;0;0;0;0;0;0;;187;262;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:49.255649	1780441069.255649;2026-06-02	17:57:50.256059	1780441070.256059;00:00:01;00:00:04;150;150;149.801;0;0;150;601;601;2;150;599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;596;4;0;0;0;0;0;0;0;;252;347;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:50.256138	1780441070.256138;2026-06-02	17:57:51.263794	1780441071.263794;00:00:01;00:00:05;150;149.95;149.831;0;0;151;752;752;2;151;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;745;6;0;0;0;0;0;0;0;;320;430;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:51.263860	1780441071.263860;2026-06-02	17:57:52.265020	1780441072.265020;00:00:01;00:00:06;150;150.849;149.975;0;0;151;903;903;3;150;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;893;9;0;0;0;0;0;0;0;;376;524;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:52.265100	1780441072.265100;2026-06-02	17:57:53.271946	1780441073.271946;00:00:01;00:00:07;150;149.105;149.829;0;0;150;1053;1053;1;152;1052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:003000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;1042;11;0;0;0;0;0;0;0;;436;616;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:53.272007	1780441073.272007;2026-06-02	17:57:54.275216	1780441074.275216;00:00:01;00:00:08;150;150.548;149.919;0;0;151;1204;1204;2;150;1202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;1190;13;0;0;0;0;0;0;0;;499;703;0;0;0;0;0;0;0;
2026-06-02	17:57:46.243809	1780441066.243809;2026-06-02	17:57:54.275310	1780441074.275310;2026-06-02	17:57:55.280563	1780441075.280563;00:00:01;00:00:09;150;149.254;149.845;0;0;150;1354;1354;2;150;1352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;1341;13;0;0;0;0;0;0;0;;569;783;0;0;0;0;0;0;0;
