StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:16.277440	1780441096.277440;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:16.277575	1780441096.277575;2026-06-02	17:58:17.275938	1780441097.275938;00:00:00;00:00:01;10;9.01804;8.99101;0;0;9;9;9;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;9;0;0;0;0;0;0;0;0;;3;6;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:17.276049	1780441097.276049;2026-06-02	17:58:18.283821	1780441098.283821;00:00:01;00:00:02;10;10.9235;9.9552;0;0;11;20;20;1;10;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:002000;00:00:00:001000;00:00:00:015000;00:00:00:013000;00:00:00:004000;00:00:00:004000;;20;0;0;0;0;0;0;0;0;;5;14;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:18.283914	1780441098.283914;2026-06-02	17:58:19.288050	1780441099.288050;00:00:01;00:00:03;10;9.96016;9.95685;0;0;10;30;30;1;10;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:002000;00:00:00:001000;00:00:00:012000;00:00:00:013000;00:00:00:002000;00:00:00:004000;;29;0;0;0;0;0;0;0;0;;7;22;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:19.288126	1780441099.288126;2026-06-02	17:58:20.292715	1780441100.292715;00:00:01;00:00:04;10;9.96016;9.9552;0;0;10;40;40;1;10;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:002000;00:00:00:001000;00:00:00:013000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;40;0;0;0;0;0;0;0;0;;8;31;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:20.292788	1780441100.292788;2026-06-02	17:58:21.293762	1780441101.293762;00:00:01;00:00:05;10;10;9.96214;0;0;10;50;50;1;10;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;49;1;0;0;0;0;0;0;0;;10;39;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:21.293852	1780441101.293852;2026-06-02	17:58:22.299913	1780441102.299913;00:00:01;00:00:06;10;9.94036;9.95851;0;0;10;60;60;0;11;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:003000;;59;1;0;0;0;0;0;0;0;;10;50;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:22.300029	1780441102.300029;2026-06-02	17:58:23.303398	1780441103.303398;00:00:01;00:00:07;10;9.97009;9.96016;0;0;10;70;70;0;10;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;69;1;0;0;0;0;0;0;0;;12;58;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:23.303521	1780441103.303521;2026-06-02	17:58:24.308948	1780441104.308948;00:00:01;00:00:08;10;9.95025;9.95768;0;0;10;80;80;0;10;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:002000;00:00:00:003000;;79;1;0;0;0;0;0;0;0;;14;66;0;0;0;0;0;0;0;
2026-06-02	17:58:16.274694	1780441096.274694;2026-06-02	17:58:24.309046	1780441104.309046;2026-06-02	17:58:25.312967	1780441105.312967;00:00:01;00:00:09;10;9.97009;9.95796;0;0;10;90;90;0;10;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;89;1;0;0;0;0;0;0;0;;16;74;0;0;0;0;0;0;0;
