StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:06.093891	1780440906.093891;00:00:00;00:00:00;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:06.094106	1780440906.094106;2026-06-02	17:55:07.095925	1780440907.095925;00:00:01;00:00:01;200;198.801;197.813;0;0;199;199;199;1;198;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;195;4;0;0;0;0;0;0;0;;102;96;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:07.095974	1780440907.095974;2026-06-02	17:55:08.099343	1780440908.099343;00:00:01;00:00:02;200;200.399;199.104;0;0;201;400;400;1;201;399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;394;5;0;0;0;0;0;0;0;;213;186;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:08.099403	1780440908.099403;2026-06-02	17:55:09.103523	1780440909.103523;00:00:01;00:00:03;200;200.199;199.469;0;0;201;601;601;2;200;599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:003000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:009000;00:00:00:009000;00:00:00:002000;00:00:00:003000;;595;5;0;0;0;0;0;0;0;;341;258;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:09.103595	1780440909.103595;2026-06-02	17:55:10.108759	1780440910.108759;00:00:01;00:00:04;200;200;199.552;0;0;201;802;802;2;201;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:009000;00:00:00:009000;00:00:00:002000;00:00:00:002000;;796;5;0;0;0;0;0;0;0;;479;321;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:10.108824	1780440910.108824;2026-06-02	17:55:11.115506	1780440911.115506;00:00:01;00:00:05;200;199.801;199.602;0;0;201;1003;1003;2;201;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:009000;00:00:00:009000;00:00:00:002000;00:00:00:002000;;998;5;0;0;0;0;0;0;0;;607;394;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:11.115592	1780440911.115592;2026-06-02	17:55:12.119659	1780440912.119659;00:00:01;00:00:06;200;200.199;199.668;0;0;201;1204;1204;1;202;1203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:003000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:009000;00:00:00:009000;00:00:00:002000;00:00:00:002000;;1198;5;0;0;0;0;0;0;0;;739;464;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:12.119721	1780440912.119721;2026-06-02	17:55:13.124558	1780440913.124558;00:00:01;00:00:07;200;200.199;199.716;0;0;201;1405;1405;2;200;1403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:001000;00:00:00:002000;00:00:00:009000;00:00:00:009000;00:00:00:002000;00:00:00:002000;;1399;5;0;0;0;0;0;0;0;;878;525;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:13.124630	1780440913.124630;2026-06-02	17:55:14.128612	1780440914.128612;00:00:01;00:00:08;200;200.399;199.776;0;0;201;1606;1606;2;201;1604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:002000;00:00:00:002000;00:00:00:009000;00:00:00:009000;00:00:00:002000;00:00:00:002000;;1599;6;0;0;0;0;0;0;0;;1009;595;0;0;0;0;0;0;0;
2026-06-02	17:55:06.089558	1780440906.089558;2026-06-02	17:55:14.128667	1780440914.128667;2026-06-02	17:55:15.131352	1780440915.131352;00:00:01;00:00:09;200;200.599;199.867;0;0;201;1807;1807;3;200;1804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:002000;00:00:00:002000;00:00:00:009000;00:00:00:009000;00:00:00:002000;00:00:00:002000;;1799;6;0;0;0;0;0;0;0;;1130;674;0;0;0;0;0;0;0;
