StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:38.794331	1780431818.794331;00:00:00;00:00:00;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:38.794547	1780431818.794547;2026-06-02	15:23:39.795416	1780431819.795416;00:00:01;00:00:01;30;30;29.9103;0;0;30;30;30;1;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;29;0;0;0;0;0;0;0;0;;5;24;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:39.795494	1780431819.795494;2026-06-02	15:23:40.799578	1780431820.799578;00:00:01;00:00:02;30;29.8805;29.8954;0;0;30;60;60;1;30;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;59;0;0;0;0;0;0;0;0;;10;49;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:40.799670	1780431820.799670;2026-06-02	15:23:41.803352	1780431821.803352;00:00:01;00:00:03;30;29.9103;29.8904;0;0;30;90;90;1;30;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:003000;;90;0;0;0;0;0;0;0;0;;17;72;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:41.803500	1780431821.803500;2026-06-02	15:23:42.807408	1780431822.807408;00:00:01;00:00:04;30;29.9103;29.8879;0;0;30;120;120;0;31;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;120;0;0;0;0;0;0;0;0;;21;99;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:42.807525	1780431822.807525;2026-06-02	15:23:43.812012	1780431823.812012;00:00:01;00:00:05;30;29.8805;29.8805;0;0;30;150;150;0;30;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;149;1;0;0;0;0;0;0;0;;23;127;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:43.812071	1780431823.812071;2026-06-02	15:23:44.816105	1780431824.816105;00:00:01;00:00:06;30;29.8805;29.8805;0;0;30;180;180;0;30;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:012000;00:00:00:003000;00:00:00:002000;;178;2;0;0;0;0;0;0;0;;34;146;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:44.816182	1780431824.816182;2026-06-02	15:23:45.825370	1780431825.825370;00:00:01;00:00:07;30;29.7324;29.8592;0;0;30;210;210;0;30;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:012000;00:00:00:003000;00:00:00:002000;;207;3;0;0;0;0;0;0;0;;39;171;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:45.825435	1780431825.825435;2026-06-02	15:23:46.833698	1780431826.833698;00:00:01;00:00:08;30;30.754;29.9714;0;0;31;241;241;1;30;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;236;4;0;0;0;0;0;0;0;;42;198;0;0;0;0;0;0;0;
2026-06-02	15:23:38.791826	1780431818.791826;2026-06-02	15:23:46.833808	1780431826.833808;2026-06-02	15:23:47.840799	1780431827.840799;00:00:01;00:00:09;30;29.8211;29.9514;0;0;30;271;271;1;30;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;267;4;0;0;0;0;0;0;0;;51;219;0;0;0;0;0;0;0;
