timestamp,cpu_usr,cpu_sys,cpu_iow,cpu_idle,mem_used_mb,mem_free_mb,net_rx_kbps,net_tx_kbps,ast_channels,ast_endpoints_online
1780431165,0.3,0.0,0.0,99.2,482,1491,23,23,0,1
1780431166,0.3,0.3,0.0,99.0,484,1489,19,18,0,1
1780431167,0.5,0.5,0.0,99.0,484,1489,2,23,0,1
1780431168,0.5,1.1,0.0,96.8,485,1488,0,2,0,1
1780431169,0.5,0.8,0.0,97.3,479,1494,0,1,0,1
1780431170,0.0,1.1,0.0,98.1,479,1494,0,2,0,1
1780431171,0.5,1.3,0.0,97.1,471,1502,0,1,0,1
1780431172,0.3,1.1,0.0,97.3,472,1501,0,2,1,1
1780431174,0.3,0.3,0.3,98.1,472,1501,0,2,0,1
1780431175,0.8,1.1,0.0,97.8,472,1501,0,1,0,1
1780431176,0.3,1.1,0.0,97.8,472,1501,0,2,0,1
1780431177,0.3,0.5,0.0,99.2,472,1501,0,1,1,1
1780431178,0.3,0.5,0.0,97.6,473,1500,0,3,0,1
1780431179,0.5,0.8,0.0,98.1,473,1500,0,1,0,1
1780431180,0.8,1.1,0.0,97.1,473,1500,0,1,0,1
1780431181,0.3,1.1,0.0,97.8,473,1499,0,1,0,1
1780431182,0.5,1.1,0.0,97.9,474,1499,0,1,0,1
1780431183,0.5,0.8,0.0,97.6,474,1499,0,1,0,1
1780431184,0.5,0.5,0.3,98.1,474,1499,0,2,0,1
1780431185,0.3,1.3,0.0,98.1,465,1508,1,1,0,1
1780431186,0.5,1.3,0.0,97.3,466,1507,0,1,0,1
1780431187,0.3,1.1,0.0,97.9,466,1507,0,1,0,1
1780431188,0.5,1.1,0.0,97.6,467,1507,0,2,0,1
1780431189,0.3,1.3,0.0,97.6,467,1507,0,4,0,1
1780431190,0.3,1.3,0.0,97.6,467,1506,0,1,0,1
1780431191,0.3,0.5,0.0,98.6,467,1506,0,1,0,1
1780431192,0.0,0.8,0.0,98.1,467,1506,0,2,0,1
1780431193,0.3,0.8,0.0,98.6,467,1506,0,2,0,1
1780431195,0.5,1.1,0.5,97.3,467,1506,0,1,0,1
1780431196,0.5,0.5,0.0,98.4,467,1506,0,1,0,1
1780431197,0.3,1.1,0.0,97.9,468,1506,0,1,0,1
1780431198,0.3,0.5,0.0,98.0,468,1505,0,4,0,1
1780431199,0.5,0.5,0.3,97.9,468,1505,0,2,0,1
1780431200,0.5,0.5,0.0,98.2,468,1505,0,1,0,1
1780431201,0.8,0.5,0.0,97.6,468,1505,0,2,0,1
1780431202,0.5,1.1,0.0,97.3,465,1508,0,1,0,1
1780431203,0.3,0.5,0.0,98.4,466,1507,0,2,0,1
1780431204,0.3,0.8,0.3,98.1,466,1507,0,2,0,1
1780431205,0.3,0.8,0.0,97.9,467,1506,0,1,0,1
1780431206,0.5,0.3,0.0,98.7,467,1506,0,1,0,1
1780431207,0.3,1.3,0.0,97.6,467,1506,0,1,0,1
1780431208,0.5,0.8,0.0,97.3,467,1506,0,1,0,1
1780431209,0.5,1.1,0.8,96.5,468,1505,0,1,0,1
1780431210,0.5,0.5,0.0,97.9,468,1505,0,1,0,1
1780431211,0.0,1.1,0.0,98.1,468,1505,0,2,0,1
1780431212,0.3,1.3,0.0,98.1,467,1506,0,4,0,1
1780431213,0.3,1.1,0.0,97.6,467,1506,0,1,0,1
1780431214,0.5,1.1,0.3,97.1,468,1505,1,1,0,1
1780431216,0.3,0.5,0.0,97.9,467,1506,0,1,0,1
1780431217,0.3,0.8,0.0,98.4,467,1506,0,1,0,1
1780431218,0.3,0.5,0.0,97.9,467,1506,0,1,0,1
1780431219,0.3,0.5,0.0,98.4,470,1504,0,1,0,1
1780431220,0.0,1.1,1.1,96.3,472,1502,0,1,0,1
1780431221,0.8,1.1,0.0,97.8,472,1502,0,1,0,1
1780431222,0.3,0.5,0.0,98.1,472,1502,0,1,0,1
1780431223,0.3,0.8,0.0,97.9,472,1502,0,1,1,1
1780431224,0.0,0.5,0.0,99.2,472,1502,0,1,0,1
1780431225,0.3,1.1,1.1,96.6,472,1501,0,1,0,1
1780431226,0.5,0.5,0.0,98.1,472,1501,0,1,0,1
1780431227,0.5,1.3,0.0,97.6,473,1501,0,1,1,1
1780431228,0.5,0.8,0.0,97.6,473,1501,0,1,0,1
1780431229,0.3,1.6,0.0,97.6,466,1507,0,1,0,1
1780431230,0.3,1.1,0.3,97.6,468,1505,0,1,0,1
1780431231,0.2,1.2,0.0,97.3,469,1504,0,1,0,1
1780431232,0.3,0.8,0.0,98.4,469,1504,12,11,0,1
1780431233,0.3,0.5,0.0,98.4,470,1503,0,1,0,1
1780431234,0.0,1.1,0.0,98.4,471,1502,0,1,0,1
1780431236,0.5,0.8,0.0,97.8,471,1502,0,1,0,1
1780431237,0.5,0.5,0.0,98.1,471,1502,0,1,0,1
1780431238,0.8,1.1,0.3,97.0,471,1502,0,3,0,1
1780431239,0.3,1.6,0.0,97.6,472,1501,0,1,0,1
1780431240,0.3,0.5,0.0,97.3,473,1500,0,1,0,1
1780431241,0.3,0.3,0.0,99.2,473,1500,0,1,0,1
1780431242,0.3,1.1,0.0,97.8,475,1498,0,1,0,1
1780431243,0.5,1.1,0.3,97.0,476,1497,0,1,0,1
1780431244,0.3,0.3,0.0,98.6,476,1497,0,1,0,1
1780431245,0.5,0.5,0.0,97.8,476,1497,1,1,0,1
1780431246,0.5,0.5,0.0,98.1,476,1497,0,1,0,1
1780431247,0.3,0.8,0.0,98.4,476,1497,0,1,0,1
1780431248,0.3,0.8,0.0,98.6,477,1496,0,1,0,1
1780431249,0.8,0.8,0.0,97.8,470,1504,0,1,0,1
1780431250,0.3,1.1,0.0,97.6,470,1503,0,3,0,1
1780431251,0.3,0.5,0.0,98.1,471,1503,0,1,0,2
1780431252,0.3,1.1,0.0,98.1,471,1503,0,2,0,1
1780431253,0.3,0.8,0.5,97.0,471,1502,0,1,0,1
1780431254,0.8,0.8,0.0,97.8,471,1502,0,1,0,1
1780431255,0.3,1.1,0.0,97.6,471,1502,0,1,0,1
1780431256,0.5,0.5,0.0,98.1,464,1509,0,2,0,1
1780431258,0.0,1.6,0.0,97.6,464,1509,0,2,0,1
1780431259,0.3,1.1,0.0,97.8,465,1508,0,1,0,1
1780431260,0.3,0.8,0.0,98.1,466,1508,0,1,0,1
1780431261,0.5,1.3,0.0,97.6,466,1507,0,2,0,1
1780431262,0.5,0.8,0.0,97.8,469,1504,0,3,0,1
1780431263,0.0,0.8,0.0,98.4,469,1504,0,1,0,1
1780431264,0.3,1.1,0.3,97.9,468,1505,0,1,0,1
1780431265,0.3,0.5,0.0,98.7,470,1503,0,1,0,1
1780431266,0.3,1.1,0.0,98.1,470,1503,0,2,0,1
1780431267,0.5,1.6,0.0,97.1,470,1503,0,1,0,1
1780431268,0.0,0.8,0.0,98.9,470,1503,0,1,0,1
1780431269,0.0,0.8,1.1,97.3,471,1503,0,1,0,1
1780431270,0.3,0.8,0.0,98.1,471,1502,0,1,0,1
1780431271,0.5,0.5,0.0,98.1,471,1502,0,1,0,1
1780431272,0.5,0.8,0.0,97.9,471,1502,0,1,0,1
1780431273,0.5,1.1,0.0,97.3,471,1502,0,1,0,1
1780431274,0.8,0.8,0.0,97.6,471,1502,1,1,0,1
1780431275,0.8,1.1,0.0,97.1,471,1502,0,1,0,1
1780431276,0.3,1.1,0.0,97.3,471,1502,0,1,0,1
1780431277,0.3,0.5,0.0,98.1,471,1502,0,1,0,1
1780431279,0.8,0.8,0.0,97.3,471,1502,0,1,0,1
1780431280,0.3,0.5,1.1,97.3,472,1501,0,2,0,1
1780431281,0.3,0.8,0.0,98.1,472,1501,0,2,0,1
1780431282,0.3,0.5,0.0,98.7,472,1501,0,1,0,1
1780431283,0.3,0.8,0.0,98.4,472,1501,0,1,0,1
1780431284,0.5,0.3,0.0,98.1,472,1501,0,1,0,1
1780431285,1.1,1.3,1.1,95.8,472,1501,0,1,0,1
1780431286,0.3,1.1,0.0,97.3,472,1501,0,2,0,1
1780431287,0.5,0.3,0.0,97.9,472,1501,0,4,0,1
1780431288,0.3,0.8,0.0,98.7,472,1501,2,35,0,1
1780431289,0.0,0.0,0.0,100.0,473,1500,0,0,0,1
1780431290,0.0,0.0,0.0,100.0,474,1500,0,0,0,1
1780431291,0.0,0.0,0.0,100.0,474,1499,0,0,0,1
1780431292,0.0,0.0,0.0,99.7,474,1499,0,0,0,1
1780431293,0.0,0.0,0.0,100.0,474,1499,0,0,0,1
1780431294,0.5,0.5,0.0,98.7,469,1504,0,0,0,1
1780431295,0.0,0.0,0.0,100.0,471,1502,0,0,0,1
1780431296,0.0,0.0,0.0,100.0,471,1502,0,0,0,1
1780431297,0.3,0.8,0.0,98.9,472,1502,2,17,0,1
1780431298,0.5,1.1,0.0,96.8,472,1501,0,2,0,1
1780431300,0.8,1.6,0.0,96.2,472,1501,0,1,0,1
1780431301,0.5,1.6,0.0,96.7,473,1500,0,1,0,1
1780431302,0.8,1.9,0.3,96.5,473,1500,0,1,0,1
1780431303,0.8,2.1,0.0,95.4,473,1500,0,2,0,1
1780431304,0.8,1.6,0.0,96.5,474,1499,0,1,0,1
1780431305,1.3,1.1,0.0,96.5,474,1499,1,2,0,1
