timestamp,cpu_usr,cpu_sys,cpu_iow,cpu_idle,mem_used_mb,mem_free_mb,net_rx_kbps,net_tx_kbps,ast_channels,ast_endpoints_online
1780432683,0.0,0.5,0.0,99.2,488,1485,23,23,0,1
1780432684,0.0,0.0,0.0,100.0,488,1485,6,6,0,1
1780432685,0.0,0.3,0.0,99.5,488,1485,3,19,0,1
1780432686,0.0,0.3,0.3,98.4,489,1484,0,2,0,1
1780432687,0.5,0.3,0.0,98.4,489,1484,0,1,0,1
1780432688,0.3,0.3,0.0,98.9,489,1484,0,1,0,1
1780432689,0.5,0.5,0.0,98.1,490,1483,0,1,0,1
1780432690,0.3,0.3,0.0,98.9,490,1483,0,1,0,1
1780432691,0.3,0.0,0.0,99.5,490,1483,0,1,0,1
1780432693,0.0,0.3,0.0,98.7,491,1482,0,1,0,1
1780432694,0.0,0.3,0.0,99.5,492,1481,0,1,0,1
1780432695,0.0,0.0,0.0,99.5,493,1480,0,1,0,1
1780432696,0.3,0.0,0.0,98.9,493,1480,0,1,0,1
1780432697,0.3,0.8,0.0,98.9,493,1480,0,1,0,1
1780432698,0.0,0.0,0.0,99.7,493,1480,0,1,0,1
1780432699,0.0,0.5,0.0,98.9,493,1480,0,1,0,1
1780432700,0.0,0.3,0.0,98.9,493,1480,0,1,0,1
1780432701,0.3,0.0,0.0,99.5,493,1480,0,0,0,1
1780432702,0.0,0.3,0.0,99.2,495,1478,0,1,0,1
1780432703,0.5,0.8,0.3,98.1,495,1478,12,10,0,1
1780432704,0.0,0.0,0.0,99.7,495,1478,0,1,0,1
1780432705,0.0,0.0,0.0,99.7,495,1478,0,1,0,1
1780432706,0.0,0.0,0.0,100.0,495,1478,0,1,0,1
1780432707,0.0,0.0,0.0,98.7,496,1478,0,1,0,1
1780432708,0.0,0.0,0.0,98.9,496,1477,0,0,0,1
1780432709,0.0,0.3,0.0,99.2,496,1477,0,0,0,1
1780432710,0.0,0.0,0.0,99.7,496,1477,0,0,0,1
1780432712,0.5,0.3,0.0,98.9,497,1476,0,1,0,1
1780432713,0.0,0.3,0.0,99.2,497,1476,0,0,0,1
1780432714,0.0,0.3,0.0,99.5,497,1476,0,0,0,1
1780432715,0.0,0.0,0.0,100.0,497,1476,1,0,0,1
1780432716,0.0,0.3,0.0,99.5,497,1476,0,0,0,1
1780432717,0.0,0.0,0.0,99.5,496,1477,0,0,0,1
1780432718,0.3,0.3,0.0,98.9,496,1477,0,2,0,1
1780432719,0.0,0.3,0.0,99.2,496,1477,0,1,0,1
1780432720,0.0,0.0,0.3,99.7,497,1476,0,1,0,1
1780432721,0.0,0.5,0.0,98.4,498,1476,0,1,0,1
1780432722,0.0,0.0,0.0,98.9,497,1476,0,1,0,1
1780432723,0.0,0.3,0.0,99.2,497,1476,0,1,0,1
1780432724,0.3,0.3,0.0,99.2,497,1476,0,1,0,1
1780432725,0.0,0.0,0.0,99.2,497,1476,0,2,0,1
1780432726,0.0,0.3,0.0,99.2,497,1476,0,1,0,1
1780432727,0.3,0.8,0.3,97.9,497,1476,0,2,0,1
1780432728,0.0,0.3,0.0,98.7,498,1475,0,1,0,1
1780432729,0.0,0.0,0.0,99.7,498,1475,0,1,0,1
1780432731,0.0,0.0,0.0,99.5,498,1475,0,1,0,1
1780432732,0.0,0.3,0.0,99.7,498,1475,0,0,0,1
1780432733,0.0,0.0,0.0,100.0,498,1475,0,1,0,1
1780432734,0.0,0.0,0.0,99.7,498,1475,0,1,0,1
1780432735,0.0,0.0,0.0,98.7,498,1475,0,0,0,1
1780432736,0.5,0.5,0.0,98.4,498,1475,0,1,0,1
1780432737,0.0,0.0,0.0,98.9,498,1475,0,1,0,1
1780432738,0.0,0.0,0.0,99.5,499,1475,0,0,0,1
1780432739,0.0,0.0,0.3,99.5,499,1475,0,0,0,1
1780432740,0.0,0.3,0.0,99.5,499,1475,0,0,0,1
1780432741,0.3,0.0,0.0,99.7,499,1475,0,0,0,1
1780432742,0.0,0.0,0.0,99.2,499,1475,0,0,0,1
1780432743,0.0,0.8,0.0,98.7,499,1475,0,1,0,1
1780432744,0.3,0.0,0.0,98.9,499,1474,1,1,0,1
1780432745,0.0,0.5,0.0,99.2,507,1466,0,0,0,1
1780432746,0.0,0.0,0.0,99.5,507,1466,0,0,0,1
1780432747,0.3,0.8,0.0,98.7,507,1466,0,0,0,1
1780432748,0.0,0.0,0.0,99.2,507,1466,0,0,0,1
1780432749,0.3,0.3,0.0,98.9,507,1466,0,1,0,1
1780432751,0.5,0.5,0.0,98.4,507,1466,0,2,0,1
1780432752,0.0,0.3,0.0,98.9,507,1466,0,1,0,1
1780432753,0.0,0.0,0.0,99.5,507,1466,0,1,0,1
1780432754,0.0,0.0,0.0,99.7,507,1466,0,1,0,1
1780432755,0.0,0.0,0.3,99.2,506,1468,0,1,0,1
1780432756,0.3,0.5,0.0,99.2,505,1468,0,1,0,1
1780432757,0.5,0.5,0.0,98.1,505,1468,0,1,0,1
1780432758,0.5,0.0,0.0,99.2,505,1468,0,1,0,1
1780432759,0.0,0.0,0.0,99.5,492,1481,1,35,0,1
1780432760,0.0,0.0,0.0,100.0,492,1481,0,0,0,1
1780432761,0.3,0.0,0.0,99.5,493,1480,0,0,0,1
1780432762,0.0,0.0,0.0,100.0,493,1480,0,0,0,1
1780432763,0.0,0.0,0.0,100.0,493,1480,0,0,0,1
