timestamp,cpu_usr,cpu_sys,cpu_iow,cpu_idle,mem_used_mb,mem_free_mb,net_rx_kbps,net_tx_kbps,ast_channels,ast_endpoints_online
1780432967,0.0,0.3,0.0,99.5,294,1679,23,23,0,1
1780432968,0.3,0.0,0.0,99.5,294,1679,2,2,0,1
1780432969,0.3,0.0,0.0,99.5,294,1679,2,19,0,1
1780432970,0.0,0.0,0.0,99.2,295,1678,0,2,0,1
1780432971,0.0,0.5,0.0,98.9,295,1678,0,2,0,1
1780432972,0.3,0.5,0.0,98.6,295,1678,0,1,0,1
1780432973,0.0,0.3,0.0,98.7,295,1678,0,1,0,1
1780432974,0.3,0.3,0.0,98.9,296,1677,0,1,0,1
1780432975,0.0,0.3,0.0,99.5,296,1677,0,1,0,1
1780432976,0.3,0.0,0.0,99.2,296,1677,0,1,0,1
1780432977,0.0,0.0,0.3,98.7,296,1677,0,0,0,1
1780432978,0.0,0.3,0.0,99.5,296,1677,0,1,0,1
1780432979,0.0,0.0,0.0,98.9,296,1677,0,1,0,1
1780432980,0.0,0.3,0.0,99.5,296,1677,0,1,0,1
1780432982,0.0,0.3,0.3,98.7,296,1677,0,0,0,1
1780432983,0.3,0.3,0.0,98.7,297,1676,0,0,0,1
1780432984,0.0,0.0,0.0,99.5,297,1676,0,0,0,1
1780432985,0.3,0.0,0.0,98.9,297,1676,1,0,0,1
1780432986,0.3,0.0,0.0,99.7,297,1676,0,0,0,1
1780432987,0.0,0.0,0.0,98.9,297,1676,0,1,0,1
1780432988,0.3,0.8,0.0,98.7,298,1675,0,0,0,1
1780432989,0.0,0.0,0.0,99.7,298,1675,0,0,0,1
1780432990,0.0,0.5,0.0,98.9,298,1675,0,2,0,1
1780432991,0.0,0.0,0.0,99.5,299,1674,0,0,0,1
1780432992,0.0,0.0,0.0,99.5,299,1674,0,0,0,1
1780432993,0.3,0.3,0.3,98.1,299,1674,0,0,0,1
1780432994,0.0,0.0,0.0,100.0,300,1674,0,0,0,1
1780432995,0.3,0.5,0.0,98.1,298,1675,0,0,0,1
1780432996,0.0,0.3,0.3,98.6,299,1674,12,10,0,1
1780432997,0.0,0.5,0.0,98.1,299,1674,0,0,0,1
1780432998,0.0,0.3,0.0,98.7,299,1674,0,0,0,1
1780432999,0.0,0.3,0.0,99.2,299,1674,0,0,0,1
1780433000,0.3,0.0,0.0,98.9,299,1674,0,0,0,1
1780433001,0.5,0.3,0.0,98.9,299,1674,0,2,0,1
1780433003,0.3,0.0,0.0,98.9,300,1673,0,1,0,1
1780433004,0.0,0.0,0.0,98.9,300,1673,0,1,0,1
1780433005,0.0,0.0,0.0,98.7,300,1673,0,1,0,1
1780433006,0.0,0.0,0.0,99.7,300,1673,0,1,0,1
1780433007,0.0,0.0,0.0,99.2,300,1673,0,2,0,1
1780433008,0.0,0.5,0.0,99.2,301,1672,0,0,0,1
1780433009,0.3,0.5,0.0,99.2,301,1672,0,1,0,1
1780433010,0.0,0.3,0.0,99.2,301,1672,0,0,0,1
1780433011,0.3,0.0,0.0,98.7,301,1672,0,1,0,1
1780433012,0.0,0.0,0.0,99.2,301,1672,0,0,0,1
1780433013,0.0,0.0,0.0,99.5,301,1672,0,1,0,1
1780433014,0.0,0.0,0.0,99.5,301,1672,0,2,0,1
1780433015,0.0,0.3,0.0,99.5,301,1672,1,0,0,1
1780433016,0.0,0.3,0.0,99.7,301,1672,0,0,0,1
1780433017,0.0,0.0,0.0,100.0,301,1672,0,1,0,1
1780433018,0.5,0.5,0.0,97.6,302,1671,0,0,0,1
1780433019,0.0,0.3,0.0,98.9,302,1671,0,1,0,1
1780433020,0.0,0.5,0.3,98.9,302,1671,0,0,0,1
1780433021,0.0,0.0,0.0,99.7,301,1672,0,1,0,1
1780433022,0.3,0.3,0.0,98.4,301,1672,0,0,0,1
1780433024,0.0,0.0,0.0,98.4,301,1672,0,0,0,1
1780433025,0.3,0.8,0.0,97.6,301,1672,0,0,0,1
1780433026,0.0,0.0,0.0,99.7,301,1672,0,0,0,1
1780433027,0.3,0.3,0.0,98.9,301,1672,0,0,0,1
1780433028,0.0,0.3,0.0,99.2,301,1672,0,0,0,1
1780433029,0.3,0.3,0.0,99.5,301,1672,0,0,0,1
1780433030,0.0,0.3,0.0,98.9,300,1673,0,0,0,1
1780433031,0.0,0.0,0.0,98.9,300,1673,0,0,0,1
1780433032,0.0,0.0,0.0,99.2,301,1672,0,0,0,1
1780433033,0.3,0.8,0.0,98.1,301,1672,0,1,0,1
1780433034,0.0,0.3,0.0,99.2,301,1673,0,1,0,1
1780433035,0.0,0.0,0.0,98.9,301,1672,0,1,0,1
1780433036,0.0,0.3,0.0,99.7,301,1672,0,1,0,1
1780433037,0.0,0.3,0.0,99.5,298,1675,2,36,0,1
1780433038,0.0,0.3,0.3,99.5,298,1675,0,0,0,1
1780433039,0.0,0.0,0.0,100.0,298,1675,0,0,0,1
1780433040,0.3,0.3,0.0,99.5,298,1675,0,0,0,1
1780433041,0.0,0.0,0.0,100.0,298,1675,0,0,0,1
